term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.1895	0.0490	0.0277	0.0061	0.0888	0.0006	0.5038	0.1861
tf	False	False	cosine	1,3,4,1	0.2123	0.0579	0.0296	0.0058	0.0999	0.0006	0.4762	0.1836
tf	False	False	cosine	1,1,1,4	0.1217	0.0369	0.0219	0.0061	0.0602	0.0006	0.5258	0.1987
tf	False	False	jaccard	1,1,1,1	0.1017	0.0323	0.0208	0.0058	0.0516	0.0006	0.6720	0.3101
tf	False	False	jaccard	1,3,4,1	0.1086	0.0376	0.0222	0.0061	0.0562	0.0006	0.5743	0.2483
tf	False	False	jaccard	1,1,1,4	0.0953	0.0287	0.0182	0.0054	0.0474	0.0005	0.6818	0.3159
tf	False	False	dice	1,1,1,1	0.1015	0.0322	0.0207	0.0058	0.0515	0.0006	0.6749	0.3134
tf	False	False	dice	1,3,4,1	0.1085	0.0376	0.0222	0.0061	0.0561	0.0006	0.5754	0.2493
tf	False	False	dice	1,1,1,4	0.0953	0.0287	0.0182	0.0054	0.0474	0.0005	0.6841	0.3188
tf	False	False	overlap	1,1,1,1	0.1270	0.0477	0.0235	0.0060	0.0661	0.0006	0.4507	0.1511
tf	False	False	overlap	1,3,4,1	0.1873	0.0761	0.0273	0.0065	0.0969	0.0006	0.4237	0.1403
tf	False	False	overlap	1,1,1,4	0.1069	0.0357	0.0220	0.0060	0.0548	0.0006	0.4677	0.1555
tf	False	True	cosine	1,1,1,1	0.2464	0.0878	0.0421	0.0079	0.1254	0.0008	0.6226	0.2471
tf	False	True	cosine	1,3,4,1	0.2665	0.0959	0.0496	0.0076	0.1374	0.0008	0.5482	0.2152
tf	False	True	cosine	1,1,1,4	0.1952	0.0658	0.0360	0.0082	0.0990	0.0008	0.6529	0.2621
tf	False	True	jaccard	1,1,1,1	0.1308	0.0534	0.0297	0.0087	0.0713	0.0009	0.7533	0.3278
tf	False	True	jaccard	1,3,4,1	0.1470	0.0610	0.0356	0.0087	0.0812	0.0009	0.6235	0.2509
tf	False	True	jaccard	1,1,1,4	0.1204	0.0422	0.0258	0.0077	0.0628	0.0008	0.7673	0.3357
tf	False	True	dice	1,1,1,1	0.1306	0.0532	0.0297	0.0086	0.0711	0.0009	0.7576	0.3322
tf	False	True	dice	1,3,4,1	0.1470	0.0608	0.0356	0.0086	0.0811	0.0009	0.6253	0.2518
tf	False	True	dice	1,1,1,4	0.1204	0.0421	0.0258	0.0076	0.0628	0.0008	0.7707	0.3397
tf	False	True	overlap	1,1,1,1	0.1838	0.0855	0.0375	0.0080	0.1022	0.0008	0.5755	0.2193
